date,district,market,commodity,variety,min_price,max_price,modal_price
2022-01-01,Jalgaon,Bhusaval,Onion,Red,1000,1000,1000.0
2022-01-01,Ahmednagar,Rahuri(Vambori),Onion,Red,200,3000,2000.0
2022-01-01,Ahmednagar,Newasa(Ghodegaon),Onion,Red,800,3000,2500.0
2022-01-02,Chandrapur,Chandrapur(Ganjwad),Onion,White,1800,2500,2000.0
2022-01-02,Pune,Khed(Chakan),Onion,Other,1000,2500,1700.0
2022-01-02,Nagpur,Ramtek,Onion,Other,800,1000,900.0
2022-01-02,Satara,Karad,Onion,Other,500,2500,2500.0
2022-01-02,Nagpur,Nagpur,Onion,Red,1800,2500,2325.0
2022-01-02,Chattrapati Sambhajinagar,Paithan,Onion,Red,975,2400,1650.0
2022-01-02,Pune,Pune(Khadiki),Onion,Local,1400,1600,1500.0
2022-01-02,Satara,Satara,Onion,Other,1000,3500,2250.0
2022-01-02,Pune,Junnar,Onion,Other,1000,1800,1500.0
2022-01-02,Nandurbar,Navapur,Onion,Other,1000,1500,1214.0
2022-01-02,Ahmednagar,Shrigonda,Onion,Other,1300,2000,1800.0
2022-01-02,Nagpur,Nagpur,Onion,White,1800,2200,2100.0
2022-01-02,Ahmednagar,Rahata,Onion,Red,500,2700,2250.0
2022-01-02,Ahmednagar,Rahuri,Onion,Red,200,3000,1600.0
2022-01-02,Pune,Pune(Manjri),Onion,Local,1300,2600,1700.0
2022-01-02,Jalgaon,Yawal,Onion,Red,540,950,710.0
2022-01-02,Pune,Pune,Onion,Local,500,3600,2050.0
2022-01-02,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,800,2000,1400.0
2022-01-02,Jalgaon,Bhusaval,Onion,Red,1000,1000,1000.0
2022-01-02,Nagpur,Kamthi,Onion,Local,1000,2000,1800.0
2022-01-02,Ahmednagar,Pathardi,Onion,Red,200,2500,1600.0
2022-01-03,Jalgaon,Jalgaon,Onion,Red,475,2050,1415.0
2022-01-03,Nashik,Lasalgaon,Onion,Red,700,2368,2100.0
2022-01-03,Nashik,Lasalgaon(Vinchur),Onion,Red,1000,2455,2100.0
2022-01-03,Sholapur,Mangal Wedha,Onion,Other,200,2210,1630.0
2022-01-03,Nashik,Umrane,Onion,Red,700,2312,1800.0
2022-01-03,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,300,1600,950.0
2022-01-03,Pune,Pune(Moshi),Onion,Local,400,1500,950.0
2022-01-03,Pune,Pune,Onion,Local,700,3300,2000.0
2022-01-03,Ahmednagar,Rahata,Onion,Red,900,3500,2950.0
2022-01-03,Nashik,Dindori(Vani),Onion,Red,1500,2641,2075.0
2022-01-03,Nashik,Devala,Onion,Red,200,2500,2100.0
2022-01-03,Chattrapati Sambhajinagar,Lasur Station,Onion,Other,710,2465,1650.0
2022-01-03,Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,700,2700,1700.0
2022-01-03,Jalgaon,Yawal,Onion,Red,530,940,700.0
2022-01-03,Nashik,Nandgaon,Onion,Red,101,2262,1800.0
2022-01-03,Nashik,Sinner,Onion,Red,500,2340,1850.0
2022-01-03,Raigad,Karjat(Raigad),Onion,1st Sort,200,1800,1000.0
2022-01-03,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,500,2400,1851.0
2022-01-03,Chandrapur,Chandrapur(Ganjwad),Onion,White,1600,2500,2000.0
2022-01-03,Nashik,Pimpalgaon,Onion,Other,500,2753,2051.0
2022-01-03,Nashik,Yeola,Onion,Red,450,2400,1800.0
2022-01-03,Nashik,Devala,Onion,Other,700,1900,1400.0
2022-01-03,Satara,Lonand,Onion,Other,700,2600,2000.0
2022-01-03,Sholapur,Solapur,Onion,Red,100,3600,1700.0
2022-01-03,Mumbai,Vashi New Mumbai,Onion,Other,1700,3400,2550.0
2022-01-03,Pune,Junnar,Onion,Other,1000,1800,1500.0
2022-01-03,Satara,Karad,Onion,Other,1000,2300,2300.0
2022-01-03,Pune,Manchar,Onion,Other,1000,2600,1585.0
2022-01-03,Nashik,Manmad,Onion,Red,200,2392,2050.0
2022-01-03,Ahmednagar,Rahuri(Vambori),Onion,Red,200,3000,1800.0
2022-01-03,Pune,Pune(Khadiki),Onion,Local,1200,1600,1400.0
2022-01-03,Ahmednagar,Newasa(Ghodegaon),Onion,Red,800,3000,2500.0
2022-01-03,Nashik,Nasik,Onion,Pole,800,2350,1650.0
2022-01-03,Nashik,Kalvan,Onion,Red,400,2405,1800.0
2022-01-03,Nashik,Pimpalgaon,Onion,Pole,500,2753,1951.0
2022-01-03,Ahmednagar,Ahmednagar,Onion,Red,500,3200,2200.0
2022-01-03,Chattrapati Sambhajinagar,Vaijpur,Onion,Red,600,2700,2100.0
2022-01-03,Nagpur,Nagpur,Onion,Red,1800,2500,2100.0
2022-01-03,Sholapur,Kurdwadi(Modnimb),Onion,Red,100,2000,1100.0
2022-01-03,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,700,2300,1500.0
2022-01-03,Ahmednagar,Sangamner,Onion,Red,500,3000,1750.0
2022-01-03,Nashik,Nasik,Onion,Other,700,2700,1950.0
2022-01-03,Ahmednagar,Shrirampur,Onion,Other,900,2700,1850.0
2022-01-03,Satara,Satara,Onion,Other,1000,3500,2250.0
2022-01-03,Nashik,Satana,Onion,Other,950,3395,2850.0
2022-01-03,Pune,Pune(Manjri),Onion,Local,1100,2000,1600.0
2022-01-03,Nandurbar,Navapur,Onion,Other,1200,1400,1309.0
2022-01-03,Kolhapur,Kolhapur,Onion,Other,700,3600,1800.0
2022-01-03,Nagpur,Nagpur,Onion,White,1800,2200,2100.0
2022-01-03,Nashik,Satana,Onion,Red,750,2475,1925.0
2022-01-03,Nashik,Kalvan,Onion,Other,500,2770,2250.0
2022-01-03,Satara,Vai,Onion,Local,1200,3200,2100.0
2022-01-03,Nashik,Chandvad,Onion,Red,1700,2500,2150.0
2022-01-03,Nashik,Lasalgaon(Niphad),Onion,Red,801,2415,2211.0
2022-01-04,Jalgaon,Jalgaon,Onion,Red,500,2250,1500.0
2022-01-04,Kolhapur,Kolhapur,Onion,Other,700,3600,1600.0
2022-01-04,Nashik,Manmad,Onion,Red,200,2300,2000.0
2022-01-04,Ahmednagar,Sangamner,Onion,Red,500,3097,1798.0
2022-01-04,Nashik,Satana,Onion,Other,900,3250,2700.0
2022-01-04,Jalgaon,Bhusaval,Onion,Red,1000,1000,1000.0
2022-01-04,Raigad,Karjat(Raigad),Onion,1st Sort,300,1800,1000.0
2022-01-04,Ahmednagar,Kopargaon,Onion,Red,725,2400,1975.0
2022-01-04,Pune,Khed(Chakan),Onion,Other,1000,2500,1700.0
2022-01-04,Nashik,Chandvad,Onion,Red,1400,2370,2000.0
2022-01-04,Nashik,Kalvan,Onion,Other,400,3300,2400.0
2022-01-04,Chattrapati Sambhajinagar,Vaijpur,Onion,Red,1200,2600,2350.0
2022-01-04,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,700,2300,1500.0
2022-01-04,Sholapur,Pandharpur,Onion,Red,100,4200,1900.0
2022-01-04,Nagpur,Nagpur,Onion,White,1800,2200,2100.0
2022-01-04,Pune,Pune(Manjri),Onion,Local,500,2200,1600.0
2022-01-04,Nashik,Pimpalgaon,Onion,Pole,400,2601,2001.0
2022-01-04,Nashik,Dindori(Vani),Onion,Red,1700,2580,2231.0
2022-01-04,Ahmednagar,Jamkhed,Onion,Local,100,3000,1550.0
2022-01-04,Nashik,Devala,Onion,Red,400,2600,2125.0
2022-01-04,Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,1000,3500,2250.0
2022-01-04,Pune,Junnar(Alephata),Onion,Other,1110,3110,2100.0
2022-01-04,Nagpur,Kamthi,Onion,Local,1000,2000,1800.0
2022-01-04,Ahmednagar,Rahata,Onion,Red,900,3500,2950.0
2022-01-04,Nandurbar,Navapur,Onion,Other,1000,1500,1167.0
2022-01-04,Nashik,Lasalgaon(Niphad),Onion,Red,1165,2429,2250.0
2022-01-04,Sholapur,Solapur,Onion,Red,100,3800,1800.0
2022-01-04,Pune,Pune(Khadiki),Onion,Local,1400,1700,1550.0
2022-01-04,Nashik,Satana,Onion,Red,775,2470,1950.0
2022-01-04,Buldhana,Malkapur,Onion,Local,825,2500,1780.0
2022-01-04,Buldhana,Nandura,Onion,Other,400,1000,1000.0
2022-01-04,Nashik,Sinner,Onion,Red,500,2275,1900.0
2022-01-04,Nashik,Nasik,Onion,Pole,800,3000,2250.0
2022-01-04,Satara,Karad,Onion,Other,500,2800,2800.0
2022-01-04,Ahmednagar,Pathardi,Onion,Red,200,2400,1500.0
2022-01-04,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,250,2100,1175.0
2022-01-04,Pune,Pune,Onion,Local,700,3200,1950.0
2022-01-04,Ahmednagar,Kopargaon,Onion,Other,1000,2000,1625.0
2022-01-04,Dharashiv(Usmanabad),Dharashiv,Onion,Red,1500,1500,1500.0
2022-01-04,Ahmednagar,Rahuri,Onion,Red,200,2700,1450.0
2022-01-04,Nashik,Kalvan,Onion,Red,400,2305,1750.0
2022-01-04,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,500,2215,1900.0
2022-01-04,Nagpur,Nagpur,Onion,Red,1800,2500,2325.0
2022-01-04,Satara,Satara,Onion,Other,1000,3500,2250.0
2022-01-04,Nashik,Lasalgaon,Onion,Red,851,2424,2151.0
2022-01-04,Mumbai,Vashi New Mumbai,Onion,Other,1800,3600,2700.0
2022-01-04,Pune,Pune(Moshi),Onion,Local,300,1900,1100.0
2022-01-04,Nashik,Nandgaon,Onion,Red,100,2400,1850.0
2022-01-05,Nashik,Yeola,Onion,Red,400,2467,2000.0
2022-01-05,Pune,Pune(Manjri),Onion,Local,1100,2200,1600.0
2022-01-05,Satara,Satara,Onion,Other,1000,3500,2250.0
2022-01-05,Ahmednagar,Sangamner,Onion,Red,500,3300,1900.0
2022-01-05,Pune,Manchar,Onion,Other,1000,2700,1850.0
2022-01-05,Ahmednagar,Kopargaon,Onion,Red,700,2351,1975.0
2022-01-05,Nashik,Umrane,Onion,Red,700,2341,1800.0
2022-01-05,Ahmednagar,Kopargaon,Onion,Other,1000,2000,1625.0
2022-01-05,Ahmednagar,Rahata,Onion,Red,800,3300,2750.0
2022-01-05,Sholapur,Mangal Wedha,Onion,Other,200,2230,1500.0
2022-01-05,Nagpur,Kamthi,Onion,Local,1000,2000,1800.0
2022-01-05,Mumbai,Vashi New Mumbai,Onion,Other,2000,3600,2800.0
2022-01-05,Sholapur,Solapur,Onion,Red,100,3500,1800.0
2022-01-05,Kolhapur,Kolhapur,Onion,Other,700,3500,1800.0
2022-01-05,Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,700,3400,2050.0
2022-01-05,Nashik,Devala,Onion,Red,200,2550,2200.0
2022-01-05,Nandurbar,Navapur,Onion,Other,1000,1200,1064.0
2022-01-05,Ahmednagar,Shrirampur,Onion,Other,900,2600,1600.0
2022-01-05,Nashik,Nasik,Onion,Pole,750,2650,1950.0
2022-01-05,Nagpur,Nagpur,Onion,White,1800,2200,2100.0
2022-01-05,Nashik,Pimpalgaon,Onion,Pole,500,2636,2100.0
2022-01-05,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,700,2200,1450.0
2022-01-05,Ahmednagar,Shrigonda,Onion,Other,300,2700,2000.0
2022-01-05,Jalgaon,Jalgaon,Onion,Red,500,20500,1525.0
2022-01-05,Nashik,Manmad,Onion,Red,500,2351,2000.0
2022-01-05,Ahmednagar,Parner,Onion,Red,200,3350,2200.0
2022-01-05,Pune,Pune(Khadiki),Onion,Local,1200,1700,1450.0
2022-01-05,Chattrapati Sambhajinagar,Paithan,Onion,Red,700,2500,1875.0
2022-01-05,Satara,Vai,Onion,Local,1200,3000,2100.0
2022-01-05,Pune,Pune,Onion,Local,700,3200,1950.0
2022-01-05,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,700,2201,1875.0
2022-01-05,Dhule,Dhule,Onion,Red,200,2300,1600.0
2022-01-05,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,300,2000,1150.0
2022-01-05,Pune,Khed(Chakan),Onion,Other,1000,2500,1700.0
2022-01-05,Ahmednagar,Newasa(Ghodegaon),Onion,Red,800,3000,2500.0
2022-01-05,Satara,Karad,Onion,Other,1000,2800,2800.0
2022-01-05,Nashik,Lasalgaon(Niphad),Onion,Red,851,2390,2140.0
2022-01-05,Nagpur,Nagpur,Onion,Red,1800,2500,2325.0
2022-01-05,Nashik,Lasalgaon,Onion,Red,800,2525,2151.0
2022-01-06,Pune,Junnar,Onion,Other,1500,3000,2500.0
2022-01-06,Nashik,Nandgaon,Onion,Red,100,2511,1950.0
2022-01-06,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,800,2225,1825.0
2022-01-06,Ahmednagar,Ahmednagar,Onion,Red,800,3300,2500.0
2022-01-06,Nashik,Manmad,Onion,Red,300,2400,2200.0
2022-01-06,Pune,Pune(Manjri),Onion,Local,1100,2400,1600.0
2022-01-06,Nashik,Sinner,Onion,Red,700,2405,2150.0
2022-01-06,Nashik,Nampur,Onion,Red,100,2355,1700.0
2022-01-06,Sholapur,Kurdwadi(Modnimb),Onion,Red,100,3050,1300.0
2022-01-06,Kolhapur,Vadgaonpeth,Onion,Local,1400,1800,1600.0
2022-01-06,Nashik,Yeola,Onion,Red,300,2421,1900.0
2022-01-06,Nashik,Chandvad,Onion,Red,1500,2368,2100.0
2022-01-06,Pune,Junnar(Otur),Onion,Other,2000,3000,2500.0
2022-01-06,Nashik,Lasalgaon(Niphad),Onion,Red,600,2400,2200.0
2022-01-06,Satara,Karad,Onion,Other,1500,2500,2500.0
2022-01-06,Nashik,Pimpalgaon,Onion,Pole,500,2631,2011.0
2022-01-06,Buldhana,Malkapur,Onion,Local,850,2100,1700.0
2022-01-06,Jalgaon,Bhusaval,Onion,Red,1000,1000,1000.0
2022-01-06,Ahmednagar,Sangamner,Onion,Red,500,3601,2050.0
2022-01-06,Satara,Lonand,Onion,Other,600,2600,2100.0
2022-01-06,Nashik,Lasalgaon,Onion,Red,800,2585,2201.0
2022-01-06,Nashik,Devala,Onion,Red,200,2530,2300.0
2022-01-06,Nashik,Nasik,Onion,Pole,750,3000,1800.0
2022-01-06,Nashik,Dindori(Vani),Onion,Red,1700,2500,2050.0
2022-01-07,Nashik,Devala,Onion,Red,200,2490,2200.0
2022-01-07,Kolhapur,Kolhapur,Onion,Other,700,3200,1400.0
2022-01-07,Chattrapati Sambhajinagar,Vaijpur,Onion,Red,1500,2370,2275.0
2022-01-07,Nashik,Manmad,Onion,Red,300,2341,2150.0
2022-01-07,Chandrapur,Chandrapur(Ganjwad),Onion,White,1500,2500,2000.0
2022-01-07,Dharashiv(Usmanabad),Dharashiv,Onion,Red,825,1600,1200.0
2022-01-07,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,800,2200,1500.0
2022-01-07,Jalgaon,Bhusaval,Onion,Red,800,800,800.0
2022-01-07,Pune,Pune(Khadiki),Onion,Local,1400,1500,1450.0
2022-01-07,Pune,Pune,Onion,Local,700,3200,1950.0
2022-01-07,Nashik,Chandvad,Onion,Red,1050,2499,2075.0
2022-01-07,Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,1000,3500,2250.0
2022-01-07,Nagpur,Kamthi,Onion,Local,1000,2000,1800.0
2022-01-07,Pune,Pune(Manjri),Onion,Local,1300,2200,1700.0
2022-01-07,Nashik,Lasalgaon(Niphad),Onion,Red,800,2418,2251.0
2022-01-07,Ahmednagar,Rahuri,Onion,Red,200,2900,1550.0
2022-01-07,Pune,Manchar,Onion,Other,625,2000,1485.0
2022-01-07,Nashik,Yeola,Onion,Red,500,2326,1900.0
2022-01-07,Sholapur,Akluj,Onion,Red,1000,3400,2200.0
2022-01-07,Pune,Pune(Pimpri),Onion,Local,1700,1900,1800.0
2022-01-07,Nashik,Nandgaon,Onion,Red,100,2526,1971.0
2022-01-07,Ahmednagar,Sangamner,Onion,Red,500,3300,1900.0
2022-01-07,Nashik,Nampur,Onion,Red,100,2500,2100.0
2022-01-07,Pune,Pune(Moshi),Onion,Local,500,2000,1250.0
2022-01-07,Chattrapati Sambhajinagar,Lasur Station,Onion,Other,700,2455,1700.0
2022-01-07,Dhule,Dhule,Onion,Red,1550,2195,1808.0
2022-01-07,Nashik,Dindori(Vani),Onion,Red,1651,2511,2000.0
2022-01-07,Nashik,Lasalgaon,Onion,Red,700,2491,2180.0
2022-01-07,Nashik,Sinner,Onion,Red,500,2430,2000.0
2022-01-07,Nashik,Pimpalgaon,Onion,Pole,600,2700,2051.0
2022-01-07,Kolhapur,Vadgaonpeth,Onion,Local,1500,2200,1700.0
2022-01-07,Jalgaon,Yawal,Onion,Red,525,970,740.0
2022-01-07,Ahmednagar,Pathardi,Onion,Red,200,2400,2000.0
2022-01-07,Amarawati,Morshi,Onion,Other,1040,2300,1600.0
2022-01-07,Sholapur,Mangal Wedha,Onion,Other,700,2500,2000.0
2022-01-07,Ahmednagar,Shrigonda,Onion,Other,300,3500,1900.0
2022-01-07,Nashik,Lasalgaon(Vinchur),Onion,Red,1000,2500,2150.0
2022-01-07,Nashik,Kalvan,Onion,Red,400,3000,1850.0
2022-01-07,Ahmednagar,Rahata,Onion,Red,800,3350,2700.0
2022-01-07,Ahmednagar,Parner,Onion,Red,500,3500,2050.0
2022-01-07,Ahmednagar,Kopargaon,Onion,Red,700,2317,1950.0
2022-01-07,Pune,Khed(Chakan),Onion,Other,1000,2500,1800.0
2022-01-07,Mumbai,Vashi New Mumbai,Onion,Other,1800,3500,2650.0
2022-01-07,Sholapur,Solapur,Onion,Red,100,3400,1700.0
2022-01-07,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,500,2290,1800.0
2022-01-07,Ahmednagar,Shrirampur,Onion,Other,850,1800,1350.0
2022-01-08,Nashik,Lasalgaon(Niphad),Onion,Red,900,2300,2151.0
2022-01-08,Satara,Vai,Onion,Local,1300,3000,2200.0
2022-01-08,Nandurbar,Navapur,Onion,Other,1000,1500,1206.0
2022-01-08,Nashik,Nasik,Onion,Pole,700,2800,1750.0
2022-01-08,Sholapur,Solapur,Onion,Red,100,3200,1550.0
2022-01-08,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,500,2311,1775.0
2022-01-08,Ahmednagar,Rahuri(Vambori),Onion,Red,200,3100,2000.0
2022-01-08,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,800,2300,1550.0
2022-01-08,Pune,Manchar,Onion,Other,1100,2510,1850.0
2022-01-08,Satara,Karad,Onion,Other,500,2500,2500.0
2022-01-08,Jalgaon,Bhusaval,Onion,Red,1500,1500,1500.0
2022-01-08,Nagpur,Nagpur,Onion,Red,2000,2700,2525.0
2022-01-08,Ahmednagar,Jamkhed,Onion,Local,100,3000,1550.0
2022-01-08,Nashik,Chandvad,Onion,Red,700,2421,2000.0
2022-01-08,Nashik,Dindori(Vani),Onion,Red,1500,2601,2061.0
2022-01-08,Ahmednagar,Newasa(Ghodegaon),Onion,Red,800,3000,2500.0
2022-01-08,Mumbai,Vashi New Mumbai,Onion,Other,1800,3400,2600.0
2022-01-08,Pune,Khed(Chakan),Onion,Other,1000,3000,2200.0
2022-01-08,Pune,Pune(Manjri),Onion,Local,1600,2600,2000.0
2022-01-08,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,400,2500,1450.0
2022-01-08,Jalgaon,Yawal,Onion,Red,490,910,640.0
2022-01-08,Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,700,3200,1950.0
2022-01-08,Nashik,Pimpalgaon,Onion,Pole,400,2500,2000.0
2022-01-08,Ahmednagar,Ahmednagar,Onion,Red,700,3200,2500.0
2022-01-08,Dharashiv(Usmanabad),Dharashiv,Onion,Red,750,2300,1525.0
2022-01-08,Kolhapur,Kolhapur,Onion,Other,800,3600,1800.0
2022-01-08,Nagpur,Nagpur,Onion,White,2000,2500,2375.0
2022-01-08,Ahmednagar,Kopargaon,Onion,Red,700,2222,1820.0
2022-01-08,Pune,Pune(Khadiki),Onion,Local,1300,1400,1350.0
2022-01-08,Chattrapati Sambhajinagar,Vaijpur,Onion,Red,1500,3175,2500.0
2022-01-08,Jalgaon,Jalgaon,Onion,Red,525,2150,1475.0
2022-01-08,Nashik,Yeola,Onion,Red,500,2378,1950.0
2022-01-08,Satara,Satara,Onion,Other,1000,3500,2250.0
2022-01-08,Sholapur,Pandharpur,Onion,Red,200,4400,2000.0
2022-01-08,Nashik,Manmad,Onion,Red,500,2305,1900.0
2022-01-08,Pune,Pune(Moshi),Onion,Local,300,2000,1150.0
2022-01-08,Nashik,Lasalgaon,Onion,Red,700,2500,2051.0
2022-01-09,Ahmednagar,Rahuri,Onion,Red,200,3000,1600.0
2022-01-09,Ahmednagar,Rahata,Onion,Red,800,3350,2700.0
2022-01-09,Sholapur,Akluj,Onion,Red,800,3200,2000.0
2022-01-09,Pune,Pune(Manjri),Onion,Local,1300,2600,1700.0
2022-01-09,Satara,Karad,Onion,Other,500,2800,2800.0
2022-01-09,Nagpur,Nagpur,Onion,Red,2000,2700,2525.0
2022-01-09,Satara,Vai,Onion,Local,1300,3000,2100.0
2022-01-09,Nagpur,Nagpur,Onion,White,2000,2500,2375.0
2022-01-09,Pune,Pune(Khadiki),Onion,Local,1300,2600,1950.0
2022-01-09,Pune,Khed(Chakan),Onion,Other,1000,2500,1800.0
2022-01-09,Ahmednagar,Kopargaon,Onion,Red,700,2361,1950.0
2022-01-09,Pune,Pune(Moshi),Onion,Local,400,2000,1200.0
2022-01-09,Satara,Satara,Onion,Other,1000,3500,2250.0
2022-01-09,Pune,Pune,Onion,Local,700,3200,1950.0
2022-01-09,Chattrapati Sambhajinagar,Paithan,Onion,Red,600,2400,1645.0
2022-01-09,Ahmednagar,Pathardi,Onion,Red,200,2500,1800.0
2022-01-09,Ahmednagar,Parner,Onion,Red,200,3025,1825.0
2022-01-09,Nagpur,Ramtek,Onion,Other,2000,2400,2200.0
2022-01-09,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,200,2200,1200.0
2022-01-09,Jalgaon,Bhusaval,Onion,Red,1500,1500,1500.0
2022-01-09,Pune,Junnar(Otur),Onion,Other,500,3800,2000.0
2022-01-09,Ahmednagar,Shrigonda,Onion,Other,300,2900,1800.0
2022-01-09,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,800,2300,1550.0
2022-01-10,Jalgaon,Jalgaon,Onion,Red,500,2050,1375.0
2022-01-10,Nashik,Lasalgaon(Niphad),Onion,Red,951,2200,2000.0
2022-01-10,Nagpur,Nagpur,Onion,White,1800,2000,1950.0
2022-01-10,Nashik,Manmad,Onion,Red,300,2331,2050.0
2022-01-10,Ahmednagar,Rahuri(Vambori),Onion,Red,200,2800,1800.0
2022-01-10,Ahmednagar,Newasa(Ghodegaon),Onion,Red,800,3000,2500.0
2022-01-10,Ahmednagar,Shrirampur,Onion,Other,750,2000,1350.0
2022-01-10,Ahmednagar,Sangamner,Onion,Red,500,3011,1755.0
2022-01-10,Pune,Pune(Moshi),Onion,Local,500,2000,1250.0
2022-01-10,Nashik,Pimpalgaon,Onion,Pole,500,2451,1951.0
2022-01-10,Pune,Manchar,Onion,Other,1000,2300,1925.0
2022-01-10,Nashik,Kalvan,Onion,Red,400,2515,1850.0
2022-01-10,Satara,Satara,Onion,Other,1000,3500,2250.0
2022-01-10,Sholapur,Mangal Wedha,Onion,Other,410,2650,2060.0
2022-01-10,Nashik,Pimpalgaon Baswant(Saykheda),Onion,Red,500,2300,1751.0
2022-01-10,Nashik,Nasik,Onion,Pole,650,2750,1850.0
2022-01-10,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,900,2200,1550.0
2022-01-10,Chattrapati Sambhajinagar,Vaijpur,Onion,Red,1000,2600,2100.0
2022-01-10,Pune,Pune,Onion,Local,700,3200,1950.0
2022-01-10,Ahmednagar,Rahata,Onion,Red,600,3000,2550.0
2022-01-10,Nashik,Devala,Onion,Red,400,2430,2100.0
2022-01-10,Ahmednagar,Ahmednagar,Onion,Red,500,3000,2400.0
2022-01-10,Sangli,Vita,Onion,Other,1000,2000,1750.0
2022-01-10,Sangli,"Sangli(Phale, Bhajipura Market)",Onion,Local,500,3200,1850.0
2022-01-10,Nashik,Nandgaon,Onion,Red,100,2290,1750.0
2022-01-10,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Onion,Other,300,2000,1150.0
2022-01-10,Kolhapur,Vadgaonpeth,Onion,Local,1500,2000,1800.0
2022-01-10,Pune,Pune(Manjri),Onion,Local,1500,2600,1700.0
